,Word,Valence,Arousal,Dominance
3598,disown,2.29,4.54,3.64
3599,disparage,3,3.96,3.52
3600,dispatch,4.9,3.55,5.32
3601,dispatcher,4.59,3.86,4.95
3602,dispensary,5.05,4.14,5.08
3603,dispense,5.24,2.95,5.45
3604,dispenser,5.26,4.18,5.48
3605,dispersal,4.91,4.43,5.16
3606,disperse,4.19,3.67,5.12
3607,displace,2.89,3.8,4.65
3608,displacement,3.68,3.86,4.85
3609,display,6.19,3.81,6.48
3610,displease,2.63,5.71,4.45
3611,displeased,3.41,4.22,5
3612,displeasure,2.52,4.81,4.08
3613,disposable,4,2.9,3.5
3614,disposal,4,4.42,4.1
3615,dispose,4,5.53,4.92
3616,disposition,4.81,4.16,5.61
3617,disprove,3.9,4.3,4.1
3618,dispute,2.52,4.55,4.14
3619,disqualify,2.47,4.7,3.45
3620,disregard,4.52,3.5,4.88
3621,disrespect,2.81,5.35,3.95
3622,disrespectful,2.71,4.65,3.7
3623,disrupt,3.48,4.87,4.62
3624,disruption,3.32,5.48,3.9
3625,disruptive,3.2,6.1,4.92
3626,dissatisfied,3.25,4.82,4.74
3627,dissect,3.95,5.43,5.16
3628,dissection,3.11,4.32,4.91
3629,dissent,4.8,4,3.84
3630,dissertation,4.3,3.71,5.56
3631,dissociative,3.58,4.61,4.07
3632,dissolve,5.43,3.36,4.67
3633,dissuade,4.11,3.35,4.96
3634,distance,3.89,3.81,4.25
3635,distant,4.74,2.95,3.56
3636,distasteful,3.17,5.05,3.92
3637,distilled,5.16,3.11,4.68
3638,distinct,5.55,3.67,5.8
3639,distinction,5.05,3.6,6
3640,distinctive,6.32,3.78,6.18
3641,distinguish,5.26,3.87,5.43
3642,distinguished,6.62,4.4,5.86
3643,distinguishing,5.37,5.7,6
3644,distort,3.38,3.62,4.7
3645,distorted,3.89,5.29,4.09
3646,distortion,3.5,4.43,3.86
3647,distract,3.68,3.55,4.35
3648,distraction,4.05,3.94,4
3649,distraught,2.81,5.64,3.55
3650,distress,3.25,4,3.9
3651,distressed,3.38,6.28,4.16
3652,distressing,3.58,5.52,4.5
3653,distribute,5.05,3.72,4.82
3654,distribution,5.5,3.45,5.21
3655,distributor,4.62,3.2,5.74
3656,district,4.9,3,4.62
3657,distrust,2.95,4.05,3.32
3658,disturb,3.45,4.98,4.29
3659,disturbance,2.68,5.19,3.3
3660,disturbing,2.68,5.65,4.4
3661,ditch,3.2,3.81,5.42
3662,ditto,5.5,3.9,6
3663,ditty,5.38,3.68,5.05
3664,diva,3.68,4.55,5.71
3665,dive,5.81,3.79,5.75
3666,diver,5.66,5.42,5.9
3667,diverse,6,3.64,6.17
3668,diversion,5.22,4.48,5.65
3669,diversionary,4.42,3.52,4.85
3670,diversity,6.14,3.21,4.71
3671,divert,4.42,4.1,5.47
3672,divide,4.78,4.62,4.91
3673,divine,7.15,3.05,5.96
3674,division,4.42,3.57,5.48
3675,divorce,2.49,5.39,4.02
3676,divorcee,3.29,3.8,4.16
3677,divulge,4.79,5.43,5.04
3678,divvy,4.81,3.27,5.77
3679,dizziness,3.36,4.95,4.25
3680,dizzy,3.14,4.67,3.55
3681,do,5.41,3.67,6.35
3682,doable,5.52,4.24,6.65
3683,doc,4.67,3.14,4.28
3684,docile,5.75,2.47,5.46
3685,dock,5.05,3.44,5.88
3686,docket,4.53,3.3,4.87
3687,docking,5.2,3.74,5.71
3688,doctor,5.93,4.05,4.69
3689,doctorate,5.95,3.91,6.52
3690,doctrine,4.89,3,5.35
3691,document,5.42,2.9,5.41
3692,documentary,5.91,3.76,5.41
3693,documentation,4.84,3.38,6.12
3694,documents,5.35,3.73,6.33
3695,dodger,4.7,3.95,6.16
3696,dodgy,4.79,4.55,4.62
3697,dodo,3.91,4,4.95
3698,doer,5.63,4.38,6.96
3699,dog,7,5.43,5.73
3700,dogface,3.95,4.14,4.9
3701,doggy,7,4.79,5.48
3702,doghouse,5.1,2.68,4.72
3703,dojo,6,4.15,5.38
3704,dole,4.95,4.4,4.82
3705,doll,5.88,3.51,5.66
3706,dollar,7.39,5.57,5.07
3707,dollhouse,5.6,3.55,6
3708,dolphin,6.67,3,5.67
3709,domain,5.05,3.36,6.92
3710,dome,5.95,4.42,5.54
3711,domestic,5.05,2.8,6.12
3712,domesticated,5.82,3.67,5.59
3713,dominance,5.19,5.5,4.59
3714,dominant,5.15,5.36,6.78
3715,dominate,4.4,6.4,5.54
3716,domination,3.57,5,5.35
3717,dominatrix,4.32,5.65,3.96
3718,dominion,4.62,4.67,4.96
3719,domino,5,3.46,4.75
3720,donate,6.7,3.25,6.71
3721,donation,7,4,6.73
3722,donkey,6.29,2.9,5.12
3723,donor,6.57,3.76,6.79
3724,doodle,6.39,4.09,6.91
3725,doom,3,6.17,2.42
3726,doomsday,2.8,6.22,3
3727,door,5.43,3.19,6.1
3728,doorbell,5.33,4.17,5.12
3729,doorknob,4.86,2.64,5.58
3730,doorman,5.45,3.35,5.67
3731,doormat,3.68,3.2,4.73
3732,doornail,4.68,3.32,5
3733,doorstep,5.14,3.26,5.1
3734,doorway,5.68,3.65,5.58
3735,dopamine,4.64,4.58,4.38
3736,dope,4.14,4.24,4.95
3737,dopey,3.86,2.91,4.2
3738,dork,4.35,2.88,5.8
3739,dorky,5.12,4.5,5
3740,dorm,5.16,4.29,5.13
3741,dormant,4.85,3,5.11
3742,dormitory,5.06,4.5,4.87
3743,dorsal,5.05,3.7,5.04
3744,dosage,4.57,4,5.79
3745,dose,4.91,2.95,5
3746,dossier,4.84,3.72,5.38
3747,dot,4.84,3.09,5.17
3748,dotted,4.86,3.33,5.4
3749,dotty,5.16,3.55,4.8
3750,double,5.78,3.38,5.11
3751,doubt,3.28,4.33,3.06
3752,doubtful,3.86,4.55,4.23
3753,douche,2.9,4.13,3.81
3754,dough,6,4.1,5.96
3755,doughboy,4.84,4,5.05
3756,doughnut,7.5,4.5,5.87
3757,douse,3.92,3.92,5.21
3758,dove,6.9,3.27,6.14
3759,downer,3.47,3.13,4.05
3760,downfall,3.2,4.5,3.64
3761,downfield,4.84,2.5,4.57
3762,download,6,3.6,6.26
3763,downriver,5.61,3.55,3.8
3764,downside,3.55,4.63,4.29
3765,downtime,5.8,3.06,6.14
3766,downward,4,4.05,3.96
3767,downy,5.77,3.11,5.52
3768,dowry,4.7,3.11,5.17
3769,doze,5.95,3.37,5.65
3770,dozen,5.78,2.95,5.56
3771,Dr. Pepper,6.9,4.48,5.95
3772,drab,2.76,2.35,4.77
3773,draft,5.3,4.1,5.28
3774,drafty,4.3,3.73,4.89
3775,drag,3.68,4.81,5.52
3776,dragon,6.68,5.45,5.17
3777,dragonfly,6.45,3.86,5.41
3778,drain,3.8,2.94,5.17
3779,drainage,3.89,3.52,4.65
3780,drainpipe,4.52,2.91,4.72
3781,drake,5.05,4.32,5.21
3782,drama,4.37,5.14,4.14
3783,dramatic,5.17,6.59,4.77
3784,drape,4.95,3.29,5.38
3785,drastic,4.63,5.2,4.92
3786,drat,4.25,3.4,4.48
3787,draught,3.9,3.32,4.36
3788,draw,6.18,3.6,6.37
3789,drawback,4.38,3.08,4.35
3790,drawbridge,5.45,3.3,4.95
3791,drawer,4.67,3,5.71
3792,dread,3,4.5,3.62
3793,dreaded,2.11,5.1,3.5
3794,dreadful,2.6,4.5,3.38
3795,dream,7.43,4.37,5.4
3796,dreamboat,7.47,4.27,5.91
3797,dreamer,7.45,4.4,6.53
3798,dreamland,7,3.95,5.31
3799,dreamy,7.52,4.9,6.28
3800,dreary,3.55,3.54,4.28
3801,dredge,3.32,3.36,4.18
3802,dress,6.42,4.73,6.64
3803,dresser,5.28,2.58,4.96
3804,dressmaker,6.85,3.05,5.52
3805,dressy,5.82,4.15,7.55
3806,dribble,4.68,3.75,4.67
3807,drift,5.09,3.32,4.57
3808,drifter,4.95,4.32,5.48
3809,driftwood,5.53,3.1,4.96
3810,drill,4.73,5.11,5.48
3811,drink,6.67,5.19,5.87
3812,drinker,3.72,5.32,3.96
3813,drip,5.52,3.7,4.11
3814,drive,6.5,4.19,5.67
3815,drivel,4.29,4.65,4.4
3816,driver,6.39,3.15,5.56
3817,driveway,4.57,3.38,6.24
3818,drizzle,5.18,4.23,4.68
3819,droll,5.09,3.41,5.25
3820,drone,3.5,4.3,4.89
3821,drool,3.28,2.7,4.35
3822,droopy,4,3.18,4.42
3823,drop,4.23,4.67,4.82
3824,dropout,3.33,4.7,3.95
3825,dropper,5.05,3.45,4.46
3826,drought,2.79,3.55,2.95
3827,drown,2.33,5.35,2.65
3828,drowsy,4.25,2.83,3.47
3829,drug,4.11,4.48,3.67
3830,drug dealing,2.81,4.7,3.71
3831,druggist,3.89,4,3.88
3832,drugs,3.86,5.78,4.32
3833,drugstore,4.74,4.05,5.07
3834,drum,6.05,4.67,5.65
3835,drummer,6.53,4.5,5.92
3836,drunk,4.06,5.05,2.94
3837,drunk driving,1.58,5.73,3.36
3838,drunkard,3.28,4.45,3.21
3839,drunken,3,4.36,4.05
3840,drunkenness,3.42,6.05,3.97
3841,dry,4.86,3.8,6.21
3842,dryer,5.21,2.43,4.57
3843,dual,5.14,4.39,5.21
3844,dub,5.35,4.58,5.36
3845,dubious,3.47,4.33,5.17
3846,duchess,6.15,3.92,4.45
3847,duck,6.11,4,5.3
3848,duckling,7.18,3.92,5.83
3849,ducky,6.6,3.81,5.6
3850,duct,4.24,2.8,4.63
3851,dud,3.74,3.33,4.24
3852,dude,5.91,3.81,5.59
3853,due,4.94,4.38,3.72
3854,duel,5.05,5.55,4.82
3855,duet,6.11,3.79,5.71
3856,duffel,4.9,3.5,5.83
3857,dugout,4.55,4.08,4.95
3858,duh,4.5,3.9,4.85
3859,duke,4.8,4.21,5.41
3860,dull,3.4,1.67,4.71
3861,dullard,4.68,3.58,4.65
3862,dumb,2.44,5.3,4.39
3863,dumbbell,4.71,3.54,4.95
3864,dummy,3.66,3.79,3.71
3865,dump,3.73,3.67,4.5
3866,dumpling,6.48,2.5,5.04
3867,dumpster,3.48,4,4.44
3868,dunce,3.24,4.95,4.72
3869,dune,5.35,2.76,5.15
3870,dung,3.86,3.45,4.65
3871,dungeon,3.52,5.13,3.68
3872,dunk,4.67,3.6,5.18
3873,duo,6.45,3.75,5.75
3874,dupe,4,3.73,3.86
3875,duplex,5.67,3.09,4.8
3876,duplicate,4.7,4.5,5.5
3877,duration,5.43,3.3,4.81
3878,duress,2.82,4.45,3.17
3879,dusk,5.63,3.52,5.27
3880,dusky,4.95,4.55,4.58
3881,dust,3.72,3.45,4.56
3882,duster,5.26,2.85,5.75
3883,dustpan,4.67,2.86,5.36
3884,dusty,3.95,4.1,4.7
3885,duty,5.33,3.71,4
3886,dwarf,4.71,3.43,3.84
3887,dweeb,4.17,3.86,4.68
3888,dwell,4.75,3.14,5.3
3889,dwelling,5.21,3.57,5.82
3890,dye,5.25,3.3,4.77
3891,dyke,3.8,3.67,3.67
3892,dynamic,6.1,5.43,5.52
3893,dynamite,4.79,6.4,4.65
3894,dynamo,6.21,5.18,5.82
3895,dynasty,5.16,4.45,5.45
3896,dysentery,3,3.75,3.05
3897,dysfunction,3.18,4.9,3.16
3898,dysfunctional,3.09,4.63,2.95
3899,eager,6.37,5.78,6.46
3900,eagle,6.47,4.57,5.09
3901,ear,5.86,3.5,6.74
3902,earful,4.27,4.19,4.73
3903,earl,5.15,3.64,5.76
3904,earn,7,4.35,6.75
3905,earnest,5.9,3.81,6.67
3906,earnings,6.37,4.84,6.85
3907,earpiece,5.04,3.86,5.95
3908,earring,6.45,3.59,5.71
3909,earrings,5.32,4.22,5.71
3910,earth,6.83,5.04,5.69
3911,earthling,5.53,3.09,4.61
3912,earthly,5.63,3.55,5.83
3913,earthquake,3.05,6.76,2.14
3914,earthy,6.5,3.29,6.56
3915,ease,6.15,2.45,6.42
3916,east,6.33,2.5,5.17
3917,eastbound,5.65,2.2,5.68
3918,eastern,5.37,3.48,4.48
3919,easy,7.47,3.82,6.79
3920,easygoing,7.03,3.2,6.76
3921,eat,7.1,4.38,7.26
3922,eater,4.95,4.23,5.87
3923,eavesdrop,4.05,4.33,5.2
3924,ebony,6.14,4.32,4.71
3925,eccentric,5.37,5.19,6.1
3926,echelon,5.55,3.17,4.43
3927,echinacea,4.8,3.73,5.42
3928,echo,5.2,3.61,4.59
3929,eclectic,5.9,4.5,5.75
3930,eclipse,6.76,5.12,5.79
3931,ecological,5.62,3.81,5.08
3932,economic,5.1,3.62,4.21
3933,economics,5.2,3.7,4.05
3934,economy,3.64,5.32,4.16
3935,ecosystem,6.5,3.71,4.41
3936,ecstasy,7.19,6.11,5.52
3937,ecstatic,6.45,6.95,5.63
3938,edema,3.86,3.27,4.42
3939,edge,4.43,4.65,4.31
3940,edgy,4.81,4.39,4.56
3941,edible,6.68,5.15,6.45
3942,edifice,5,3.95,5.33
3943,edit,4.95,4.1,6.64
3944,editing,5.45,5.58,6.57
3945,edition,5.3,3.79,4.81
3946,editor,5.43,4.09,5.9
3947,editorial,5.18,2.9,5.77
3948,educate,7.48,4.36,6.79
3949,education,6.58,4.64,6.82
3950,educational,6.6,4.52,5.68
3951,educator,6.58,3.5,6.11
3952,eel,4.14,4.79,4.86
3953,eerie,3.4,5.57,3.91
3954,effect,5.5,4.08,5.88
3955,effective,6.95,3.95,7.2
3956,effectiveness,6.9,4.95,6.19
3957,efficiency,6.74,3.74,6.79
3958,efficient,6.95,3.86,6.67
3959,effort,6.47,4.12,6.64
3960,effortless,7.1,3.43,7
3961,egg,5.95,3.28,5.74
3962,egghead,4.47,3.59,4.57
3963,eggnog,6,4.27,5.26
3964,eggplant,5.55,3.14,5.77
3965,eggshell,5.2,3.17,4.33
3966,ego,4.38,4.17,6.05
3967,egomaniac,3.68,5.53,5.19
3968,egotistical,3.08,5.14,5.23
3969,eight,5.37,3.48,5.26
3970,eighteen,5.72,3.83,5.71
3971,eighty,5.43,3.41,4.41
3972,ejaculate,6,6.15,5.83
3973,ejaculation,5.42,6.18,5.04
3974,eject,3.95,4.42,5.18
3975,ejection,3.5,4.29,3.62
3976,El Nino,4.29,4.09,3.52
3977,elaborate,6.38,4.23,6.05
3978,elastic,5.71,4.35,5.05
3979,elated,6.56,5.14,6.86
3980,elbow,5.38,3.2,6.02
3981,elder,6.11,2.5,4.14
3982,elderly,4.63,2.73,4.91
3983,elect,5.52,4,5.43
3984,election,4.5,4.23,5
3985,elective,5.38,3.54,6.35
3986,electoral,4.21,3.86,4.96
3987,electric,6.1,4.05,5.48
3988,electric slide,6.05,4.73,5.67
3989,electrical,5.57,6,4.97
3990,electrician,5.21,3.19,5.73
3991,electricity,6.15,4.3,4.68
3992,electrocute,3.27,6,4.42
3993,electrocution,2.45,5.76,2.5
3994,electromagnetic,5.1,5.22,4.86
3995,electron,5.33,3.82,4.57
3996,electronic,6.52,3.64,5.41
3997,electronics,6.5,4.6,5.96
3998,elegance,6.91,4.24,6.26
3999,elegant,7,4.43,5.95
4000,element,5.58,3.9,5
4001,elemental,5.19,4.35,4.77
4002,elementary,6.11,3.5,4.91
4003,elephant,6.17,4.23,4.23
4004,elevate,6.42,4.65,5.67
4005,elevation,5.67,3.57,6.06
4006,elevator,5.95,3.65,4.92
4007,eleven,5,3.05,5.2
4008,elf,6.1,4.3,5.43
4009,elicit,4.14,5.27,4.4
4010,eligible,6.45,4.81,6
4011,eliminate,3.89,3.64,5.48
4012,elimination,3.86,3.35,4.33
4013,elite,5.71,5.9,5.34
4014,elitist,4.5,4.57,5.74
4015,elixir,5.68,3.95,5.43
4016,elk,5.81,3.48,4.67
4017,elm,6.32,3.05,5.43
4018,elope,6.58,5.7,6.21
4019,eloquence,6.76,3.91,6.46
4020,eloquent,7.16,4.61,6.37
4021,elude,4.62,4,5.05
4022,elusive,4.3,4.5,4.73
4023,email,6,4.5,6.11
4024,emancipation,6.57,3.65,4.73
4025,embankment,5,3.62,5.43
4026,embargo,5.05,4.59,5.45
4027,embark,5.89,4.3,6.39
4028,embarrass,3.38,5.47,4.22
4029,embarrassed,3.51,5.38,3.67
4030,embarrassing,3.53,5.95,3.87
4031,embarrassment,2.72,5.45,2.92
4032,embassy,5.3,3.91,5.79
4033,embattled,4.05,4.02,4.88
4034,embezzlement,2.95,4.67,4.18
4035,embezzler,3.05,5.24,3.79
4036,emblem,6,2.67,5.46
4037,embodiment,5.72,3.78,4.91
4038,embolism,2.14,4.17,4.05
4039,embrace,7,5.82,6.58
4040,embroidery,6.53,2.85,6.05
4041,embryo,5.75,3.7,4.86
4042,emcee,5.15,4.05,4.74
4043,emerald,7.3,5.33,6.32
4044,emerge,5.75,4.74,6.67
4045,emergency,2.72,6.43,2.72
4046,emery,4.74,3.59,5.6
4047,eminence,5.43,4.5,5
4048,eminent,5.58,4.95,5.09
4049,emissary,4.76,3.39,5.56
4050,emission,4.1,3.67,4.68
4051,emit,4.81,3.96,5.26
4052,emotion,6.62,4.75,5
4053,emotional,5.11,5.32,4.5
4054,empathize,7.1,3.55,6.38
4055,empathy,7.29,3.62,5.9
4056,emperor,4.68,4.25,5.32
4057,emphasis,5.26,4.1,5
4058,emphasize,5.75,4.21,6.43
4059,emphysema,2.47,4.25,4.3
4060,empire,5.36,4.59,5.95
4061,empirical,4.67,4.14,5.3
4062,employ,5.89,3.83,5
4063,employee,5.29,4.65,4.81
4064,employer,5.3,4.06,3.3
4065,employment,6,5.02,5.36
4066,emporium,5.25,4.17,6.05
4067,empress,4.95,3.87,6.1
4068,emptiness,3.26,3.18,4.1
4069,empty,3.78,2.25,3.61
4070,emu,5.45,4,6.21
4071,emulate,5.11,4.15,5.83
4072,enable,5.13,3.95,5.45
4073,enamel,5.42,3.79,5.31
4074,enchanted,7.16,5.27,6
4075,enchanting,6.8,5.56,5.5
4076,enchantment,6.8,5.29,5.22
4077,enchantress,5.82,4.1,5.68
4078,enchilada,6.63,4.39,5.82
4079,enclosure,4.6,3.35,4.64
4080,encore,6.9,4.09,5.52
4081,encounter,5.16,4.67,5.3
4082,encourage,7.16,4.38,6.2
4083,encouragement,6.7,5.59,6.58
4084,encouraging,6.89,4.23,6.87
4085,encryption,5.14,4,5.32
4086,encyclopedia,6.14,5,6.48
4087,end,4.73,3.95,4.41
4088,end table,5.25,2.7,4.9
4089,endanger,2.67,4.72,3.95
4090,endangerment,3,4.84,3.84
4091,endearing,7.17,4.17,6.26
4092,endeavor,6.42,4.19,5.75
4093,endgame,4.23,5.26,5.32
4094,ending,4.23,4.19,4.59
4095,endless,4,4.23,3.25
4096,endorse,5.2,3.17,6.45
4097,endorsement,6.05,3.76,5.92
4098,endowment,6,3.67,6.15
4099,endurance,6.86,5.6,6.03
4100,endure,4.95,3.77,6.06
4101,enduring,6.67,3.36,6.37
4102,enema,3.29,4.13,3.2
4103,enemy,2.22,5.3,2.5
4104,energetic,7.57,6.1,5.81
4105,energize,7.43,6,6.55
4106,energy,6.9,6.25,6.53
4107,enforce,5.32,5.3,5.49
4108,enforcement,4.67,4.48,4
4109,enforcer,3.81,4.2,5.36
4110,engage,6.6,5.28,6.42
4111,engaged,6.78,5.2,5.42
4112,engagement,6.65,5.19,6.29
4113,engine,5.48,3.89,5.36
4114,engineer,5.79,4.22,6.53
4115,engineering,6,3.14,5.61
4116,engraving,6.17,3.05,5.44
4117,enhance,6.62,4.04,6.58
4118,enhancement,6.29,4.39,6.22
4119,enigma,5.35,4.65,5.18
4120,enjoy,7.67,5,7.28
4121,enjoyable,7.63,4.77,7
4122,enjoyment,8.37,5.48,6.56
4123,enlarge,5.33,3.87,5.89
4124,enlargement,4.65,3.86,5.4
4125,enlighten,7.38,3.23,6.3
4126,enlightening,7,5.91,6.37
4127,enlightenment,6.79,4.52,6.5
4128,enlist,4.42,3.71,5.58
4129,ennui,4.13,3.26,4.7
4130,enormous,5.68,5.05,6
4131,enraged,2.33,5.22,4.4
4132,enroll,5.94,4.25,5.86
4133,enrollment,6.19,3.76,6.05
4134,ensemble,5.67,3.86,5.4
4135,enslave,2.67,5.35,4.08
4136,ensure,5.71,3.57,5.96
4137,entail,5.35,4.11,5
4138,enter,6.09,4.3,6.79
4139,enterprise,6,4,5.65
4140,enterprising,5.52,4.33,6.2
4141,entertain,7.21,5.19,6.7
4142,entertainer,6.48,6.15,5.31
4143,entertaining,8,5.28,6.45
4144,entertainment,7.59,6.42,5.86
4145,enthusiasm,7.14,4.18,6.69
4146,enthusiast,6.65,5.91,6.89
4147,enthusiastic,7.55,5.9,6.21
4148,entice,5.33,4.42,5.15
4149,entire,5.67,2.85,5.06
4150,entirety,5.95,3.1,6.13
4151,entitle,4.89,4,6.38
4152,entity,5.19,3.48,4.94
4153,entourage,4.9,4,5.29
4154,entrails,3.37,4.7,4.21
4155,entrance,6.05,3.7,5.41
4156,entrapment,3.3,5.91,3.57
4157,entree,6.63,3.95,6.82
4158,entrepreneur,6.14,3.68,7.67
4159,entrust,6.32,3.2,6.8
4160,entry,4.95,4.41,6.37
4161,envelope,5.95,2.8,5.5
4162,envious,3.52,5.1,3.86
4163,environment,6.7,3.45,4.62
4164,environmental,5.5,6.05,5.68
4165,envision,6.14,3.76,6.64
4166,envoy,4.9,3.74,4.64
4167,envy,3.05,4.35,3.16
4168,enzyme,5.14,3.1,4.92
4169,epic,7.19,4.8,5.32
4170,epidemic,2.05,6.18,2.58
4171,epidural,3.65,4.94,4.26
4172,epilepsy,2.7,5,2.9
4173,epileptic,3.32,4.62,4
4174,epiphany,7.06,4.6,5.48
4175,episode,5,3.67,5.4
4176,epitaph,4.53,3.52,5.26
4177,epitome,5.67,4.23,6.14
4178,equal,6.47,3.52,6.64
4179,equality,6.75,4.73,6
4180,equalizer,5.05,3.68,5.46
4181,equate,6.16,3.84,5.13
4182,equation,5.29,3.91,5.59
4183,equator,5.42,4.1,5.26
4184,equestrian,5.71,3.35,5.5
4185,equilibrium,6.32,2.5,5.68
4186,equipment,5.62,3.04,5.2
4187,equity,5.41,3.91,5.65
4188,equivalent,5.89,3.95,5.57
4189,era,5.29,3.62,4.92
4190,eradicate,3.79,5.09,4.95
4191,erase,4.89,3.55,5.42
4192,eraser,5.64,3.57,6.89
4193,erect,5.79,5.43,5.7
4194,erectile,4.5,5.5,4.53
4195,erection,7.38,7.37,5.18
4196,ergo,4.86,4,5.21
4197,erosion,3.79,5.86,3.91
4198,erotic,5.83,7.27,5.9
4199,erotica,6.1,6.52,5.56
4200,err,3.58,3.68,4.82
4201,errand,4.68,3.89,6.15
4202,errant,4.43,4.8,4.23
4203,erratic,3.21,5.1,4.4
4204,erroneous,4.38,4.64,4.07
4205,error,3.36,4.43,4.18
4206,erupt,5.14,6.41,3.32
4207,eruption,4.74,6.09,2.82
4208,escalate,4.05,6.25,5.24
4209,escalating,4.76,4.5,5.58
4210,escalation,4.82,4.91,4.6
4211,escalator,5.95,4.55,5.31
4212,escape,5.5,4.55,5.44
4213,escort,5.35,5.32,5.63
4214,escrow,4.56,3.11,4.38
4215,esophagus,4.5,3.76,5.04
4216,espionage,4.05,5.5,4.5
4217,espresso,6.68,5.25,6.3
4218,esquire,5.67,2.9,5.38
4219,essay,4.9,4,5.55
4220,essence,6.75,3.86,5.62
4221,essential,6.26,4.3,6.3
4222,establish,5.58,3.72,6.29
4223,estate,5.65,3.45,5.27
4224,esteem,6.38,3.91,6.45
4225,esteemed,5.95,4.72,5.54
4226,estimate,5.95,3.41,5.43
4227,estimation,4.67,3.18,5.26
4228,estranged,3.67,3.95,4.48
4229,estrogen,5.22,4.45,4.2
4230,eternal,6.76,3.59,5.41
4231,eternity,6.05,3.77,4.37
4232,ether,4.63,4.81,4.26
4233,ethic,6,3.57,6
4234,ethical,5.78,3.78,5.71
4235,ethics,6,3.71,6.6
4236,ethnic,5.36,3.55,5.05
4237,etiquette,6,3.71,5.65
4238,eucalyptus,6.05,3.1,5.57
4239,eulogy,3.43,4.16,4.05
4240,euphemism,5.05,3.48,5.5
4241,euphoria,7.26,5.68,6.73
4242,euphoric,7.8,5.25,6.77
4243,euro,5.35,3.57,5
4244,euthanasia,3.3,5.18,5.4
4245,evacuate,3.4,5.17,3.32
4246,evacuation,4.23,5.24,3.14
4247,evade,4.55,5.91,5.95
4248,evaluate,5.1,3.78,6.2
4249,evaluation,4.86,5.89,4.62
4250,evaporate,5.4,4,4.81
4251,evasion,3.36,4.77,5.25
4252,evasive,3.24,3.39,5.06
4253,evening,7.09,3.1,5.22
4254,evens,5.33,3.7,4.32
4255,event,6.21,5.1,5
4256,eventual,5.05,3.42,4.75
4257,everlasting,6.55,3.85,5.23
4258,everyday,5.47,3.14,5.96
4259,everyman,5.42,3.52,4.4
4260,evict,2.63,4.73,3.96
4261,eviction,3,4.67,3.68
4262,evidence,4.72,3.9,4.61
4263,evident,5.1,3.76,6.16
4264,evidentiary,4.5,4.22,4.42
4265,evil,2.34,5.67,3.6
4266,evolution,5.35,6.3,4.77
4267,evolutionary,5.62,5.59,4.43
4268,evolve,5.7,4.46,5.48
4269,ex,2.7,4.79,4
4270,exact,5.58,3.95,5.7
4271,exacting,5.42,4.45,5.11
4272,exaggerate,4.36,4.48,5.55
4273,exaggeration,4.19,5.8,4.84
4274,exam,4.33,5.17,4.19
4275,examination,5.05,4.5,5.05
4276,examine,5.61,3.95,5.84
4277,examiner,4.29,3.7,6.25
4278,example,4.9,3.55,6.74
4279,excavation,4.89,4.64,5.67
4280,exceed,4.79,5.52,6.75
4281,excel,5.95,4.85,6.61
4282,excellence,7.87,5.3,7.4
4283,excellent,7.56,5.15,7.22
4284,excelsior,5.95,4,5.35
4285,exception,5.25,4.35,4.12
4286,exceptional,7.32,5,6.32
4287,excess,4.29,5.42,5.29
4288,excessive,4.37,3.73,4.04
4289,exchange,5.9,4.76,5.88
4290,excitable,5.68,5.43,6.55
4291,excite,7.79,6.61,5.79
4292,excited,8.11,6.43,7.33
4293,excitement,7.62,6.21,6.33
4294,exciting,7.95,6.95,7.21
4295,exclamation,6.85,5.4,6
4296,exclude,3.55,4.81,4.67
4297,exclusive,4.5,5,5.58
4298,excrement,2,4.64,3.38
4299,excruciating,2.1,5.3,3.36
4300,excursion,5.83,4.26,6.05
4301,excuse,4.52,3.61,4.72
4302,exec,4.86,3.71,5.55
4303,execute,3.94,5.79,5.04
4304,execution,2.28,6,3.27
4305,executioner,2.23,6.59,3.68
4306,executive,4.95,4.32,4.95
4307,executor,3.95,5.1,5.54
4308,exemplary,5.58,4.79,6.57
4309,exempt,4.84,4.43,5.54
4310,exemption,5.37,4.17,5.32
4311,exercise,6.33,5.41,6.9
4312,exert,5.47,4.64,6
4313,exhale,6.11,3.75,6.27
4314,exhaust,4,4.26,4.36
4315,exhaustion,3.21,4.52,4.29
4316,exhaustive,4.24,4.5,4.54
4317,exhibit,5.77,5.48,6.21
4318,exhibition,5.53,5.38,5.39
4319,exhilarated,6.9,6.55,6.51
4320,exhilarating,7.39,6.83,5.76
4321,exhumation,2.89,4.5,4.14
4322,exhume,3.95,4.5,4.81
4323,exile,3.32,5.87,3.37
4324,exist,5.9,4,6.05
4325,existence,6.25,4.38,5.11
4326,existential,5.86,4.28,6.06
4327,existing,4.83,5.05,6.46
4328,exit,5.35,3.18,7
4329,exodus,4.63,4.45,5.62
4330,exonerate,5.44,3.83,5.82
4331,exorcism,3.15,5.96,3.71
4332,exorcist,3.76,6.29,3.8
4333,exotic,7.55,6.9,5.65
4334,expand,5.35,3.3,5.43
4335,expansion,6.4,5.7,5.42
4336,expect,5.95,4.86,4.89
4337,expectancy,6.32,4.35,5.41
4338,expectation,6.1,4.5,5.05
4339,expedient,5.3,4.55,6.84
4340,expedite,6.1,4.86,5.96
4341,expedition,6.53,4.5,5.78
4342,expel,3.75,4.24,4.17
4343,expendable,3.85,5.11,4
4344,expense,3.9,4.82,4.41
